ID,Title,Publisher,Format,Subjects,,Length,Avergae of missing value
cda92d3e76f011eb88a0f06e0bc7d76e,HGTV Magazine,Hearst,magazine,Home & Garden,,13,13.35398496
cdf0d38576f011eb823ef06e0bc7d76e,Clean Eating,"Pocket Outdoor Media, LLC",magazine,Food & Wine,,11,
ce30c72f76f011eb9e57f06e0bc7d76e,Cook's Illustrated,"Boston Common Press, LP",magazine,Food & Wine,,11,
ce6e88e776f011eb925ff06e0bc7d76e,Women's Health,Hearst,magazine,Health & Fitness,,16,
cea85eb476f011eb9cbff06e0bc7d76e,National Geographic Magazine,National Geographic Society,magazine,Science,,7,
cee8781776f011eb8b62f06e0bc7d76e,Good Housekeeping,Hearst,magazine,Women's Lifestyle,,17,
cf26f29676f011eb84acf06e0bc7d76e,Pioneer Woman,Hearst,magazine,Health & Fitness,,16,
cf652afe76f011eb852bf06e0bc7d76e,Woman's World,Heinrich Bauer NA,magazine,Women's Lifestyle,,17,
cfbd6d3476f011ebb6fef06e0bc7d76e,Food Network Magazine,Hearst,magazine,Food & Wine,,11,
d005396f76f011eb9ab4f06e0bc7d76e,Country Living,Hearst,magazine,Home & Garden,,13,
d042074f76f011eb9884f06e0bc7d76e,Taste of Home,Trusted Media Brands Inc.,magazine,Food & Wine,,11,
d09586a076f011ebad40f06e0bc7d76e,The New Yorker,Conde Nast US,magazine,News & Politics,,15,
d0d0ba6d76f011eb8992f06e0bc7d76e,Cook's Country,"Boston Common Press, LP",magazine,Food & Wine,,11,
d119900e76f011eb8582f06e0bc7d76e,Kiplinger's Personal Finance,Kiplinger,magazine,Business & Finance,,18,
d157273776f011eb9d06f06e0bc7d76e,Prevention,Hearst,magazine,Health & Fitness,,16,
d194d0a476f011eb86adf06e0bc7d76e,ELLE DECOR,Hearst,magazine,Home & Garden,,13,
d1d5047176f011eba2b6f06e0bc7d76e,New Idea,Are Media Pty Limited,magazine,Celebrity & Gossip,,18,
d2181dec76f011eb8f9cf06e0bc7d76e,The Simple Things,Iceberg Press Limited,magazine,Crafts,,6,
d25435ae76f011ebbe03f06e0bc7d76e,Yoga Journal,"Pocket Outdoor Media, LLC",magazine,Health & Fitness,,16,
d28d110376f011ebbabef06e0bc7d76e,Real Homes,Future Publishing Ltd,magazine,Home & Garden,,13,
d2caac0276f011eb9223f06e0bc7d76e,Us Weekly,"A360 Media, LLC",magazine,Celebrity & Gossip,,18,
d2fcffa176f011ebbed0f06e0bc7d76e,Woman's Day,Hearst,magazine,Women's Lifestyle,,17,
d3482e6c76f011eb8920f06e0bc7d76e,"ELLE Deco, Kitchens Special",Hearst Magazines UK,magazine,Home & Garden,,13,
d38e6a0976f011eb873bf06e0bc7d76e,House Beautiful,Hearst,magazine,Home & Garden,,13,
d3dd997676f011eb9a85f06e0bc7d76e,Make it HOME,Future Publishing Ltd,magazine,Home & Garden,,13,
d41e772a76f011eb9aaef06e0bc7d76e,Cosmopolitan,Hearst,magazine,Women's Lifestyle,,17,
d469f1e476f011ebb142f06e0bc7d76e,The New Yorker,Conde Nast US,magazine,News & Politics,,15,
d4b4b88a76f011ebb15ff06e0bc7d76e,Canadian Living,TVA Publications Inc.,magazine,Food & Wine,,11,
d4f90cea76f011eba68cf06e0bc7d76e,Your Home and Garden,Are Media Pty Limited,magazine,Home & Garden,,13,
d536156376f011eb8acff06e0bc7d76e,In Touch Weekly,"A360 Media, LLC",magazine,Celebrity & Gossip,,18,
d56b0d3d76f011eb8034f06e0bc7d76e,In Touch Weekly,"A360 Media, LLC",magazine,Celebrity & Gossip,,18,
d5a4df0b76f011eb9a71f06e0bc7d76e,American Farmhouse Style,Engaged Media,magazine,Home & Garden,,13,
d5d997e576f011eb81ebf06e0bc7d76e,Runner's World,Hearst,magazine,Health & Fitness,,16,
d60e3f0e76f011eb9162f06e0bc7d76e,Maxim,Maxim Inc.,magazine,Men's Lifestyle,,15,
d648425376f011eb8fddf06e0bc7d76e,The New Yorker,Conde Nast US,magazine,News & Politics,,15,
d68660d176f011eb8e34f06e0bc7d76e,Woman's World,Heinrich Bauer NA,magazine,Women's Lifestyle,,17,
d6c37ed076f011eb994ef06e0bc7d76e,Popular Mechanics,Hearst,magazine,Science,,7,
d7108b9a76f011eb9afdf06e0bc7d76e,Woman's World,Heinrich Bauer NA,magazine,Women's Lifestyle,,17,
d759872d76f011eb9aacf06e0bc7d76e,Seasons,Future Publishing Ltd,magazine,Home & Garden,,13,
d79cbdb776f011eb906ef06e0bc7d76e,Backpacker,"Pocket Outdoor Media, LLC",magazine,Travel & Outdoor,,16,
d7d42c9876f011ebb0a6f06e0bc7d76e,The Economist Asia Edition,The Economist Newspaper Limited - Asia Pacific,magazine,News & Politics,,15,
d822d4ea76f011eb8bcff06e0bc7d76e,The Economist Asia Edition,The Economist Newspaper Limited - Asia Pacific,magazine,News & Politics,,15,
d8606b6476f011ebb61ff06e0bc7d76e,PC Magazine,Ziff Davis,magazine,Tech & Gaming,,13,
d8a47f0b76f011eb8b58f06e0bc7d76e,Conde Nast Traveler,Conde Nast US,magazine,Travel & Outdoor,,16,
d8e4fec276f011eb9c30f06e0bc7d76e,Us Weekly,"A360 Media, LLC",magazine,Celebrity & Gossip,,18,
d92ebc2e76f011ebb685f06e0bc7d76e,The Economist Asia Edition,The Economist Newspaper Limited - Asia Pacific,magazine,News & Politics,,15,
d96f75a176f011eb91e6f06e0bc7d76e,House and Garden,Conde Nast Publications Ltd,magazine,Home & Garden,,13,
d9c6511276f011ebadb6f06e0bc7d76e,Bon Appetit,Conde Nast US,magazine,Food & Wine,,11,
da124f6f76f011eb9ae9f06e0bc7d76e,Better Homes and Gardens Australia,Are Media Pty Limited,magazine,Home & Garden,,13,
da4dc28176f011ebafeaf06e0bc7d76e,Everyday Dish,Image Centre Publishing Limited,magazine,Cooking & Food,,14,
da86396976f011eb9ef4f06e0bc7d76e,House Beautiful UK,Hearst Magazines UK,magazine,Home & Garden,,13,
dace3d8176f011eb8000f06e0bc7d76e,The New Yorker,Conde Nast US,magazine,News & Politics,,15,
db16367b76f011eb9373f06e0bc7d76e,Women?s Health Eat Clean Get Lean,Media 24 Ltd,magazine,Health & Fitness,,16,
db54af4876f011eb8a13f06e0bc7d76e,Seasoned Magazine,ChopChop Family,magazine,Food & Wine,,11,
db939e0976f011ebb0a0f06e0bc7d76e,Home,Media 24 Ltd,magazine,Home & Garden,,13,
dbda8afc76f011ebb5e0f06e0bc7d76e,Clean Eating,"Pocket Outdoor Media, LLC",magazine,Food & Wine,,11,
dc1450d776f011eb94c8f06e0bc7d76e,MOTHER EARTH NEWS,"Ogden Publications, Inc.",magazine,Home & Garden,,13,
dc6560ea76f011eb911bf06e0bc7d76e,Architectural Digest,Conde Nast US,magazine,Art & Architecture,,18,
dca8dfb676f011ebae33f06e0bc7d76e,Country Living Bookazine Handmade Style,Hearst Magazines UK,magazine,Crafts,,6,
dcee3bd076f011ebb9d1f06e0bc7d76e,Flower,Peony Publishing,magazine,Home & Garden,,13,
dd27519476f011eba08ef06e0bc7d76e,Woman's World,Heinrich Bauer NA,magazine,Women's Lifestyle,,17,
dd63e0f376f011ebbf37f06e0bc7d76e,"O, The Oprah Magazine",Hearst,magazine,Women's Lifestyle,,17,
dd9a192c76f011eb883df06e0bc7d76e,Vogue,Conde Nast US,magazine,Fashion,,7,
ddd8ac3576f011eba32ef06e0bc7d76e,The Economist Asia Edition,The Economist Newspaper Limited - Asia Pacific,magazine,News & Politics,,15,
de0ed39076f011ebb503f06e0bc7d76e,National Geographic Traveller (UK),National Geographic Traveller (UK),magazine,Travel & Outdoor,,16,
de515ee876f011ebbf59f06e0bc7d76e,Veranda,Hearst,magazine,Home & Garden,,13,
de90f70b76f011eb8d38f06e0bc7d76e,ELLE,Hearst,magazine,Fashion,,7,
decede6876f011eb846ef06e0bc7d76e,The New Yorker,Conde Nast US,magazine,News & Politics,,15,
df0d293176f011ebbeaff06e0bc7d76e,Reader's Digest Canada,Readers Digest Canada,magazine,News & Politics,,15,
df4c237d76f011eb8a34f06e0bc7d76e,Southern Home,Hoffman Media,magazine,Home & Garden,,13,
df868ea776f011eba26cf06e0bc7d76e,Us Weekly,"A360 Media, LLC",magazine,Celebrity & Gossip,,18,
dfcb936b76f011eb881bf06e0bc7d76e,First for Women,Bauer Publishing,magazine,Women's Lifestyle,,17,
e00f1b6976f011ebae1bf06e0bc7d76e,Chess for Beginners,Future Publishing Ltd,magazine,none,,4,
e053b40076f011ebadcbf06e0bc7d76e,101 Home Sewing Ideas,Immediate Media Company London Limited,magazine,Crafts,,6,
e098276a76f011ebb1fff06e0bc7d76e,Cooking with Paula Deen,Hoffman Media,magazine,Food & Wine,,11,
e0d55b2076f011ebaa6ef06e0bc7d76e,HGTV Magazine,Hearst,magazine,Home & Garden,,13,
e10ba7a076f011ebb048f06e0bc7d76e,Country Living UK,Hearst Magazines UK,magazine,Home & Garden,,13,
e14ea14e76f011eb9ebef06e0bc7d76e,Women?s Fitness,Kelsey Publishing Group,magazine,Health & Fitness,,16,
e19710b376f011ebbaf9f06e0bc7d76e,Everyday Style,Future Publishing Ltd,magazine,Home & Garden,,13,
e1cf7cb276f011eb8106f06e0bc7d76e,Dwell,Dwell,magazine,Art & Architecture,,18,
e2024ea776f011eb82bff06e0bc7d76e,Men's Health,Hearst,magazine,Health & Fitness,,16,
e23c3eab76f011eb9c20f06e0bc7d76e,Country Woman,Trusted Media Brands Inc.,magazine,Home & Garden,,13,
e27589fe76f011eb918ef06e0bc7d76e,Taste of the South,Hoffman Media,magazine,Food & Wine,,11,
e2b1849576f011eb87ddf06e0bc7d76e,The New Yorker,Conde Nast US,magazine,News & Politics,,15,
e2e9181676f011ebb552f06e0bc7d76e,This Old House,"This Old House Ventures, LLC",magazine,Home & Garden,,13,
e325240176f011eb916ef06e0bc7d76e,National Geographic Traveller (UK),National Geographic Traveller (UK),magazine,Travel & Outdoor,,16,
e3755c6f76f011eb8968f06e0bc7d76e,Prevention Magazine Australia,Nextmedia Pty Ltd,magazine,Health & Fitness,,16,
e3b28e0976f011ebb340f06e0bc7d76e,Architectural Digest,Conde Nast US,magazine,Art & Architecture,,18,
e3f06e1676f011eba778f06e0bc7d76e,In Touch Weekly,"A360 Media, LLC",magazine,Celebrity & Gossip,,18,
e43abb2f76f011ebac4bf06e0bc7d76e,Life & Style Weekly,"A360 Media, LLC",magazine,Celebrity & Gossip,,18,
e473444676f011eb83b2f06e0bc7d76e,Smithsonian Magazine,Smithsonian Institute,magazine,Culture & Literature,,20,
e4d53dee76f011eb8640f06e0bc7d76e,First for Women,Bauer Publishing,magazine,Women's Lifestyle,,17,
e509d6e976f011eb8f1cf06e0bc7d76e,Bon Appetit,Conde Nast US,magazine,Food & Wine,,11,
e549ca3b76f011ebbebaf06e0bc7d76e,Us Weekly,"A360 Media, LLC",magazine,Celebrity & Gossip,,18,
e58b139876f011ebbb7ef06e0bc7d76e,Mollie Makes Crochet,Immediate Media Company London Limited,magazine,Crafts,,6,
e5ddb5b676f011eb8f97f06e0bc7d76e,Interweave Knits,"Peak Media Properties, LLC",magazine,Crafts,,6,
e615819576f011eb9d89f06e0bc7d76e,Style At Home,TVA Publications Inc.,magazine,Home & Garden,,13,
e649c24376f011eb83baf06e0bc7d76e,Southern Home,Hoffman Media,magazine,Home & Garden,,13,
e68b869976f011eba50df06e0bc7d76e,Money Magazine,Rainmaker Information Pty Limited,magazine,News & Politics,,15,
e6cc264276f011eb9729f06e0bc7d76e,Coast,Kelsey Publishing Group,magazine,Home & Garden,,13,
e70684af76f011eba012f06e0bc7d76e,Victoria,Hoffman Media,magazine,Food & Wine,,11,
e73a65e776f011eba17df06e0bc7d76e,Kitchens & Baths,Canadian Home Publishers Inc.,magazine,Home & Garden,,13,
e795ed6676f011ebad90f06e0bc7d76e,Us Weekly,"A360 Media, LLC",magazine,Celebrity & Gossip,,18,
e7de37ed76f011eb8be3f06e0bc7d76e,Newsweek,The Newsweek/Daily Beast Company LLC,magazine,News & Politics,,15,
e828ef2476f011eb8a5bf06e0bc7d76e,Better Homes and Gardens Australia,Are Media Pty Limited,magazine,Home & Garden,,13,
e876110076f011eb811ff06e0bc7d76e,Verena,AO Izdatelskiy dom Burda,magazine,Celebrity & Gossip,,18,
e9023f4276f011eb9b29f06e0bc7d76e,Guitarist Presents: Historic Hardware,Future Publishing Ltd,magazine,"Movies, TV & Music",,18,
e9419b0e76f011eb9209f06e0bc7d76e,Beat,falkemedia GmbH & Co. KG.,magazine,"Movies, TV & Music",,18,
e97fc96c76f011ebb36df06e0bc7d76e,Design Anthology,Fifth Black Media Limited,magazine,Art & Architecture,,18,
e9bbe80d76f011ebb186f06e0bc7d76e,VWt,Kelsey Publishing Group,magazine,Cars & Motorcycles,,18,
e9f5b82576f011eba2a1f06e0bc7d76e,Boxing News,Kelsey Publishing Group,magazine,News & Politics,,15,
ea2b0cff76f011eb8edef06e0bc7d76e,Inspire,ILOVEREADING.SG PTE LTD,magazine,Culture & Literature,,20,
ea6cd07476f011eb9314f06e0bc7d76e,Fast Car,Kelsey Publishing Group,magazine,Cars & Motorcycles,,18,
eab2568a76f011eb9978f06e0bc7d76e,Atlas of the Stars: New Edition,Kalmbach Publishing Co. - Magazines,magazine,Science,,7,
eaeec72676f011ebad78f06e0bc7d76e,Home Yard,Media 24 Ltd,magazine,none,,4,
eb2f030976f011eb9e08f06e0bc7d76e,PC Gamer,Future Publishing Ltd,magazine,Gaming,,6,
eb646af676f011eb9e63f06e0bc7d76e,3D World,Future Publishing Ltd,magazine,Tech & Gaming,,13,
ebaa90c476f011eb8f9df06e0bc7d76e,Men's Health Espa§a,"Hearst Magazines, S.L.",magazine,Health & Fitness,,16,
ebe32edb76f011ebbc63f06e0bc7d76e,NME Originals - 80's,Future Publishing Ltd,magazine,Celebrity & Gossip,,18,
ec28868c76f011eb826bf06e0bc7d76e,Garden & Gun,The Allee Group LLC,magazine,Culture & Literature,,20,
ec62837e76f011eb9c65f06e0bc7d76e,Arquitectura y Dise§o,RBA Revistas S.L.,magazine,Art & Architecture,,18,
ec9ca4f176f011eb80a2f06e0bc7d76e,Total Guitar,Future Publishing Ltd,magazine,"Movies, TV & Music",,18,
ecd1747876f011ebbd85f06e0bc7d76e,Moto verte,Editions Lariviere SAS,magazine,Cars & Motorcycles,,18,
edabaa7576f011eb97a1f06e0bc7d76e,Wellbeing Spiritual Masters,Universal Wellbeing PTY Limited,magazine,Women's Lifestyle,,17,
ede5edc276f011eba395f06e0bc7d76e,Android App Directory Vol 3,Future Publishing Ltd,magazine,none,,4,
ee65c89d76f011eb82b6f06e0bc7d76e,BEEF,DPV Deutscher Pressevertrieb,magazine,Food & Wine,,11,
eea1e78576f011ebb3c3f06e0bc7d76e,7 TV-Dage,Aller Media A/S,magazine,"Movies, TV & Music",,18,
eedd2fa676f011eb86acf06e0bc7d76e,Eat Well,Universal Wellbeing PTY Limited,magazine,Food & Wine,,11,
ef17049676f011eb8c5ef06e0bc7d76e,The 100 Greatest Graphic Novels Of All Time,Future Publishing Ltd,magazine,Comics & Manga,,14,
ef4fcf7d76f011eb9732f06e0bc7d76e,HIIT a Beginner?s Guide,Dennis Publishing UK,magazine,none,,4,
ef882e7876f011ebb823f06e0bc7d76e,Auto Plus France,Societe EMAS,magazine,Cars & Motorcycles,,18,
efc53bc376f011eba8e0f06e0bc7d76e,Die Cast X,Air Age Media,magazine,Cars & Motorcycles,,18,
effe9a4076f011ebb221f06e0bc7d76e,Photo Review,Media Publishing Pty Limited,magazine,Photography,,11,
f078421076f011eb8a72f06e0bc7d76e,flick!,"EI-Publishing Co.,Ltd.",magazine,Tech & Gaming,,13,
f0af30db76f011ebbcc5f06e0bc7d76e,Our Canada,Readers Digest Canada,magazine,Travel & Outdoor,,16,
f0e81aec76f011ebbde3f06e0bc7d76e,Gardening Australia,Nextmedia Pty Ltd,magazine,Home & Garden,,13,
f1220cff76f011ebbf0ff06e0bc7d76e,Milk Kid's Collections,Milk Magazine ,magazine,Fashion,,7,
f15e73e576f011ebb433f06e0bc7d76e,DIVA,Twin Media Group,magazine,Women's Lifestyle,,17,
f197ac2476f011eb9db4f06e0bc7d76e,Real Living Australia,Are Media Pty Limited,magazine,Home & Garden,,13,
f1de908b76f011eb8a10f06e0bc7d76e,Forbes Argentina,HT Media S.A,magazine,News & Politics,,15,
f21c61b076f011eb87f9f06e0bc7d76e,MoneyWeek,Dennis Publishing UK,magazine,News & Politics,,15,
f28f38cc76f011ebac4ff06e0bc7d76e,Muy Historia  Espa§a,"GyJ Espana Ediciones, S.L. S. en C.",magazine,Culture & Literature,,20,
f2d2090f76f011eb82dbf06e0bc7d76e,House and Garden,Conde Nast Publications Ltd,magazine,Home & Garden,,13,
f31a861576f011eb968bf06e0bc7d76e,Ville & Casali,Edizioni Morelli srl,magazine,Home & Garden,,13,
f35bd4d576f011eb9601f06e0bc7d76e,Pick Me Up!,Future Publishing Ltd,magazine,Celebrity & Gossip,,18,
f3913e1a76f011ebb632f06e0bc7d76e,Match of the Day Magazine,Immediate Media Company London Limited,magazine,Sports,,6,
f40854e476f011eba2c2f06e0bc7d76e,The Classic MotorCycle,"Mortons Media Group, Ltd",magazine,Cars & Motorcycles,,18,
f4449a8f76f011eba582f06e0bc7d76e,Maxim MÇxico,Epicurus Publishing S.A.P.I de C.V,magazine,Men's Lifestyle,,15,
f48142e276f011ebb3a5f06e0bc7d76e,Australian Homespun,Universal Wellbeing PTY Limited,magazine,Crafts,,6,
f5194aba76f011eb91fdf06e0bc7d76e,ImagineFX Presents: Digital Painting,Future Publishing Ltd,magazine,Art & Architecture,,18,
f5687c7076f011eba8b0f06e0bc7d76e,3D World,Future Publishing Ltd,magazine,Tech & Gaming,,13,
f5cf3e9976f011eba035f06e0bc7d76e,connect,Weka Media Publishing GmbH,magazine,Tech & Gaming,,13,
f604399176f011eb80eaf06e0bc7d76e,You South Africa,Media 24 Ltd,magazine,Celebrity & Gossip,,18,
f63e011f76f011eb9f00f06e0bc7d76e,Marie Claire Italia,HMC IITALIA SRL ,magazine,Fashion,,7,
f6c0238576f011eb9cd4f06e0bc7d76e,Simple Wine News ,SIMPLE Publishing LLC,magazine,Food & Wine,,11,
f6f6ca7e76f011ebb7dff06e0bc7d76e,Stylist,The Stylist Group Ltd,magazine,Fashion,,7,
f73746cd76f011ebbb98f06e0bc7d76e,TRAVEL & SPA,RS Planner s.r.l.,magazine,Luxury,,6,
f772cd4376f011eb8989f06e0bc7d76e,Mollie Makes Christmas,Future Publishing Ltd,magazine,none,,4,
f7b3681776f011eb87d7f06e0bc7d76e,The Threepenny Review,The Threepenny Review,magazine,Culture & Literature,,20,
f813dda476f011eb9922f06e0bc7d76e,The World's Most Incredible Tattoos 2nd edition ,Dennis Publishing UK,magazine,Crafts,,6,
f85519c176f011eb9ae7f06e0bc7d76e,La Semaine,TVA Publications Inc.,magazine,Celebrity & Gossip,,18,
f89c9e0b76f011eb9e19f06e0bc7d76e,Paris Match,Lagardere Media News,magazine,Celebrity & Gossip,,18,
f8dcae4376f011eba9c4f06e0bc7d76e,Woman & Home,Future Publishing Ltd,magazine,Women's Lifestyle,,17,
f923d4fc76f011ebb3c8f06e0bc7d76e,The Journal of the Texas Trophy Hunters,Texas Trophy Hunters Association,magazine,Hunting & Fishing,,17,
f97242d276f011eb975cf06e0bc7d76e,Photography Week,Future Publishing Ltd,magazine,Photography,,11,
f9aaa2d776f011ebaf15f06e0bc7d76e,.net CSS Design Essentials,Future Publishing Ltd,magazine,Science,,7,
f9e84a9f76f011eb83e3f06e0bc7d76e,Photo Editing,Media Publishing Pty Limited,magazine,Photography,,11,
fa30343b76f011eb987ef06e0bc7d76e,Gas Engine Magazine,"Ogden Publications, Inc.",magazine,Cars & Motorcycles,,18,
fa75c32a76f011eb9846f06e0bc7d76e,mein ZauberTopf,falkemedia GmbH & Co. KG.,magazine,Food & Wine,,11,
fabdfb3f76f011eb91fff06e0bc7d76e,Kitchen Yearbook,Universal Wellbeing PTY Limited,magazine,Home & Garden,,13,
faf475c376f011eba41ff06e0bc7d76e,Le Journal du dimanche,Lagardere Media News,magazine,News & Politics,,15,
fb2bda4876f011eb8ab4f06e0bc7d76e,Huisgenoot Glutenvry,Media 24 Ltd,magazine,none,,4,
fb6697e676f011ebb451f06e0bc7d76e,The Ultimate iPod Guide 5,Dennis Publishing UK,magazine,Tech & Gaming,,13,
fbaad20d76f011eb90cef06e0bc7d76e,The American Poetry Review,"World Poetry, Inc",magazine,Culture & Literature,,20,
fbe9884876f011eb9c06f06e0bc7d76e,Cross Country,XC Media,magazine,Sports,,6,
fc2042b976f011ebaa4cf06e0bc7d76e,Flow,DPV Deutscher Pressevertrieb,magazine,Women's Lifestyle,,17,
fc5beef276f011eb837ef06e0bc7d76e,Best,Hearst Magazines UK,magazine,Celebrity & Gossip,,18,
fc96c5bc76f011eb86aff06e0bc7d76e,The Caravan,Delhi Press Patra Prakashan Pte LTD,magazine,News & Politics,,15,
fcfdba6676f011eb9e43f06e0bc7d76e,Log and Timber Home Living,Active Interest Media,magazine,Home & Garden,,13,
fd3ac8c476f011ebbc4ef06e0bc7d76e,AFAR,"Afar Media, LLC",magazine,Travel & Outdoor,,16,
fd81d72676f011ebb04cf06e0bc7d76e,Entrepreneur Magazine,Entrepreneur Media Inc.,magazine,Business & Finance,,18,
fdb8b30e76f011eb8cfbf06e0bc7d76e,ArtAsiaPacific Almanac,ArtAsiaPacific Holdings Ltd,magazine,Art & Architecture,,18,
fe081f2f76f011ebbc7ef06e0bc7d76e,YOU Rusks and Muffins,Media 24 Ltd,magazine,none,,4,
fe44b64f76f011eb9c10f06e0bc7d76e,Game & Fish South,"KSE Sportsman Media, Inc.",magazine,Hunting & Fishing,,17,
fe85035176f011eb8f4cf06e0bc7d76e,World War II,HistoryNet,magazine,Culture & Literature,,20,
fec3bfff76f011eb8d41f06e0bc7d76e,The Ideal Home and Garden,Next Gen Publishing Limited,magazine,Home & Garden,,13,
fefed0c676f011eb9fc4f06e0bc7d76e,RECOIL Presents: Concealment,"CMG West, LLC",magazine,Hunting & Fishing,,17,
ffbb5ccf76f011ebb18ef06e0bc7d76e,Guerres & Histoires Hors SÇrie,Reworld Media Magazines,magazine,Culture & Literature,,20,
000433d476f111ebab69f06e0bc7d76e,Huisgenoot,Media 24 Ltd,magazine,Celebrity & Gossip,,18,
004eaabe76f111eba53ff06e0bc7d76e,7 Jours,TVA Publications Inc.,magazine,"Movies, TV & Music",,18,
008a1aa176f111eb97f8f06e0bc7d76e,TRAIL,TRAIL magazine Pty Ltd,magazine,Sports,,6,
00d8cecb76f111ebb8dbf06e0bc7d76e,ELLE Decoration UK,Hearst Magazines UK,magazine,Home & Garden,,13,
011ea3aa76f111eb8f1af06e0bc7d76e,Girls' Life magazine,Red Engine LLC,magazine,Family & Parenting,,18,
019f222a76f111ebb97ef06e0bc7d76e,Art & Antiques,"Art & Antiques Worldwide Media, LLC",magazine,Photography,,11,
021861ee76f111ebb86cf06e0bc7d76e,Golf Australia,Nextmedia Pty Ltd,magazine,Sports,,6,
026116fd76f111eb827af06e0bc7d76e,GEO,DPV Deutscher Pressevertrieb,magazine,Science,,7,
02ae4e1a76f111eb95f8f06e0bc7d76e,Kuier,Media 24 Ltd,magazine,Women's Lifestyle,,17,
02f9865e76f111eb8a98f06e0bc7d76e,Sound On Sound UK,Sound On Sound Ltd,magazine,"Movies, TV & Music",,18,
03330d0876f111eb9e6bf06e0bc7d76e,Closer Weekly,"A360 Media, LLC",magazine,Celebrity & Gossip,,18,
0368c42f76f111ebbc98f06e0bc7d76e,WellBeing Being,Universal Wellbeing PTY Limited,magazine,Travel & Outdoor,,16,
03ac0e6076f111eba732f06e0bc7d76e,Marie Claire Russia,Hearst Shkulev Publishing,magazine,Fashion,,7,
03ecd98d76f111eb95baf06e0bc7d76e,American History,HistoryNet,magazine,Culture & Literature,,20,
