,,Table B,,,,,,,,,,
ID,Title,Publisher,Format,Subject,reviews,Review enhanced,Publisher Length,Subject Length,Review Length,,,
31fc14e2-fcda-419e-8571-ef92cfd37116,Family Handyman,"Trusted Media Brands, Inc.",Print Magazine,Sustainable Living Magazines,"17,378 ratings","17,378 ",26,28,7,,,
63a84b3f-1db6-4c32-b2c3-749956cdb572,Real Simple,Meredith Corporation,Print Magazine,Women's Lifestyle Magazines,"11,518 ratings","11,518 ",20,27,7,,,
994ccd4d-f4a3-415a-a289-5ea1a5f204ea,Better Homes & Gardens,Meredith corporation,Print Magazine,Gardening & Horticulture Magazines,"9,301 ratings","9,301 ",20,34,6,,,
3b9475aa-4400-4473-ad06-b4c7c9ed8d38,Reader's Digest,"Trusted Media Brands, Inc.",Print Magazine,Literary Magazines & Journals,"13,680 ratings","13,680 ",26,29,7,,,
4fea6186-bb26-4424-8e5e-8d1df44fcc6d,Do it Yourself,Meredith Corporation,Print Magazine,Farming Magazines,"7,143 ratings","7,143 ",20,17,6,,,
86139878-452b-49a1-8904-86de689aa9db,Southern Living,Meredith Corporation,Print Magazine,Farming Magazines,"5,824 ratings","5,824 ",20,17,6,,,
97cf9215-8e1d-42e4-a851-23465c6d421f,Martha Stewart Living,Meredith Corporation,Print Magazine,"Cooking, Food & Wine Magazines","7,543 ratings","7,543 ",20,30,6,,,
b5a96bb2-106c-463d-b499-665b60d3f76a,Food Network Magazine,Hearst Magazines,Print Magazine,Recipes & Techniques Magazines,"8,806 ratings","8,806 ",16,30,6,,,
7a375370-049e-4863-9ec2-68274d4fbc58,AllRecipes,Meredith Corporation,Print Magazine,Recipes & Techniques Magazines,"6,586 ratings","6,586 ",20,30,6,,,
758f29db-d72e-48d6-81b6-fba004c4f99f,Birds & Blooms,"Trusted Media Brands, Inc.",Print Magazine,"Science, History & Nature Magazines","5,054 ratings","5,054 ",26,35,6,,,
4c846a08-01a0-4a2d-9bbb-626f0df8896c,National Geographic Kids,National Geographic Partners LLC,Print Magazine,Teen Magazines,"11,530 ratings","11,530 ",32,14,7,,,
d066cc49-4ba8-4373-9b24-3f1097f8c3a0,Taste of Home,"Trusted Media Brands, Inc",Print Magazine,Recipes & Techniques Magazines,"6,170 ratings","6,170 ",25,30,6,,,
7115fb38-d66b-4ef4-b458-97a3d4519ab2,Food & Wine,Meredith Corporation,Print Magazine,Wine & Spirits (Magazine Subscriptions),"2,184 ratings","2,184 ",20,39,6,,,
715e4559-cfe0-4e79-8936-3a6a84299973,EatingWell,Meredith Corporation,Print Magazine,Recipes & Techniques Magazines,"6,118 ratings","6,118 ",20,30,6,,,
61bd799f-bca7-467e-8ec2-0794341c789b,Cosmopolitan,Hearst Magazines,Print Magazine,Women's Fashion Magazines,"12,425 ratings","12,425 ",16,25,7,,,
83864460-2c7f-4263-a4a6-87effe2129ac,Men's Health,Hearst Magazines,Print Magazine,Men's Health & Fitness Magazines,"5,237 ratings","5,237 ",16,32,6,,,
3b81ee25-43c5-4a34-b43e-01a8f1252912,HGTV Magazine,Hearst Magazines,Print Magazine,Luxury Homes Magazines,"7,173 ratings","7,173 ",16,22,6,,Publisher Average ,20.3602289
3e2c7841-a937-4544-8cb7-ec6fe0e29929,Popular Mechanics,Hearst Magazines,Print Magazine,Automotive Magazines,"4,650 ratings","4,650 ",16,20,6,,,
e7f098b1-5025-4198-85f1-2486629c872f,Good Housekeeping,Hearst Magazines,Print Magazine,Home Organization Magazines,"12,425 ratings","12,425 ",16,27,7,,Subject Average,21.08297568
55ea4356-b8c4-4484-a08a-ba096fbb1048,The Magnolia Journal,Meredith Corporation,Print Magazine,Home & Garden Magazines,"2,968 ratings","2,968 ",20,23,6,,,
7e4facbc-fda5-49f2-af64-e2cbafc1aaa2,Highlights for Children,Highlights for Children,Print Magazine,Magazines for Ages 4-8,"3,129 ratings","3,129 ",23,22,6,,Review Average ,2.68297568
47b04756-b26f-4c23-a06a-ea2cb096d685,Country Living,Hearst Magazines,Print Magazine,Sustainable Living Magazines,"3,417 ratings","3,417 ",16,28,6,,,
f4da233e-fb47-4745-af1d-17333059ac5a,Elle D‹¨«cor,Hearst Magazines,Print Magazine,Farming Magazines,"1,410 ratings","1,410 ",16,17,6,,,
785fd52a-0386-4add-ae0b-c5499b39448e,Bon Appetit,Conde Nast Publications,Print Magazine,Recipes & Techniques Magazines,"3,770 ratings","3,770 ",23,30,6,,,
ae9ce746-5aab-4e9e-b691-21fa1b5795cb,Travel + Leisure,Meredith Corporation,Print Magazine,US Travel,"1,411 ratings","1,411 ",20,9,6,,,
44409d90-e21b-4a40-958b-a66a9af09fd4,InStyle,Meredith Corporation,Print Magazine,Women's Fashion Magazines,"2,315 ratings","2,315 ",20,25,6,,,
24d0553f-c0a8-4b38-8028-6a38903fbb6c,The New Yorker,Conde Nast Publications,Print Magazine,Humor Magazines,"3,286 ratings","3,286 ",23,15,6,,,
ccea1ad3-62ca-4136-96d9-021dcc221cda,House Beautiful,Hearst Magazines,Print Magazine,Luxury Homes Magazines,"1,983 ratings","1,983 ",16,22,6,,,
326cd1c7-c839-436e-833f-09044dc8ac40,Car and Driver,Hearst Magazines,Print Magazine,Automotive Magazines,"3,079 ratings","3,079 ",16,20,6,,,
65b92216-c4d0-4485-8f8c-f4f2fd7e6e62,Highlights High Five,Highlights for Children,Print Magazine,Magazines for Ages 4-8,"2,109 ratings","2,109 ",23,22,6,,,
09f36847-efc4-42b5-8b27-fd986cdf0481,People,Meredith Corporation,Print Magazine,Beauty Magazines,"2,856 ratings","2,856 ",20,16,6,,,
05a94986-54e9-4bd0-96eb-ef85b0aa4252,Women's Health,Hearst Magazines,Print Magazine,Women's Health & Fitness Magazines,"2,811 ratings","2,811 ",16,34,6,,,
9c5a0deb-bf1e-4257-b83d-0b5cdba951a2,Veranda,Hearst Magazines,Print Magazine,Luxury Homes Magazines,"1,292 ratings","1,292 ",16,22,6,,,
